YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,PDF
2011,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2011 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,"Automatic recirculation. An air quality sensor detects increased concentrations of pollutants in the outside air and automatically switches to recirculation mode. The basic climate control settings can be adjusted in the radio or MMI. We recommend that you always keep automatic recirculation ON to prevent polluted outside air from entering the vehicle interior.

If the air quality sensor located in the climate control system detects polluted outside air, the sensor decides whether the air pollution can be reduced by the factory-installed pollutant filter or whether it is necessary to switch to recirculation. With heavy concentrations of pollutants, the climate control system is switched automatically to recirculation mode and the supply of outside air is blocked. As soon as the concentration of pollutants in the outside air drops, fresh air is supplied to the vehicle interior again. Under certain operating conditions, automatic recirculation is switched off automatically.

When outside temperatures are below about 50 °F (+10 °C), automatic recirculation is limited to 30 seconds. When outside temperatures are below about 30 °F (- 1 °C), automatic recirculation is limited to 15 seconds.",https://ownersmanuals2.com/d/71920
2010,Audi,A5 Cabriolet / S5 Cabriolet,PDF,2010 Audi A5 Cabriolet / S5 Cabriolet — Owner's Manual,"Dynamic steering: System malfunction. This driver message and the symbol appear when a system malfunction occurs during travel. You can continue to drive carefully at a reduced speed to a qualified workshop. Steering can be more difficult or sensitive than usual.

The steering wheel can also be at an angle when driving straight. Dynamic steering: initialization. If this driver message appears and the indicator light l, is flashing on the instrument panel, dynamic steering is being reinitialized. Once you start the engine after this is finished, the steering wheel will be easy to move.

Re-initializat ion might be necessary if the steering wheel was moved hard to the left and right while the vehicle was not moving. The display goes out as soon as initialization is complete. Automatic headlights/automatic wipers defective If the symbol illuminates, the light sensor has failed. For safety reasons, the low beams are turned on permanently with the switch in AUTO.

However, you can continue to turn the lights on and off using the light switch. In the case of a defect in the rain sensor, the windshield wiper lever functions are still available.",https://ownersmanuals2.com/d/71923
2008,Audi,A5 Coupe,PDF,2008 Audi A5 Coupe — Owner's Manual,"Your vehicle may be factory equipped with tires that are rated for a maximum speed of 130 mph (210 km/h). This is less than the maximum speed of your vehicle. To reduce the risk of sudden tire failure and loss of control if the vehicle is operated at excessive speeds, your vehicle also has an electronic speed limiter. The electronic speed limiter prevents your vehicle from going faster than the tire speed rating.

If the vehicle approaches the tire speed rating, the engine control unit will turn off the fuel injectors. You will notice an immediate loss of engine power and a drop in road speed. The trip computer gives you information on current and average fuel mileage, average speed, fuel range and driving time. The following information is continuously evaluated by the trip computer and can be displayed sequentially in the instrument cluster display: The estimated cruising range in miles (km) appears in the display.

This tells you how far your vehicle will be able to travel on the current tank of fuel and with the same driving style. The display changes in increments of 6 miles (10 km). The cruising range is calculated based on the fuel consumption for the last 18 miles (30 km). If you drive conservatively, the cruising range will increase.

The average fuel economy in MPG (1/100 km) since you last cleared the memory appears in this display. You can use this display to adjust your driving technique to achieve a desired mileage.",https://ownersmanuals2.com/d/71943
2019,Audi,A5 Coupe / S5 Coupe,PDF,2019 Audi A5 Coupe / S5 Coupe — Owner's Manual,,https://ownersmanuals2.com/d/75018
2018,Audi,A5 Coupe / S5 Coupe,PDF,2018 Audi A5 Coupe / S5 Coupe — Owner's Manual,"The display brightness adjusts automatically to the brightness of the surroundings, both in the information and in the warning stage. In very dark or very bright surroundings, the automatic adjustment will set the display to the minimum or maximum level. In such cases, you may notice no change when adjusting the brightness, or the change may only be noticeable once the surroundings change. Adjust the brightness to a level where the display in the information stage will not disrupt your view ahead.

If you change the brightness, the display in the exterior mirror will briefly show the brightness level in the information stage. The brightness of the warning stage is linked to the brightness in the information stage and is adjusted along with the information stage. When the vehicle is stationary, the exit warning system warns the passengers of a possible collision when opening the door. Within the limits of the system, the system monitors the areas behind and next to the vehicle using the radar sensors page 134.

Moving objects that are approaching from behind, such as cars, are detected fig. 135. When you open the door, the warning strip on the affected door blinks fig. 136 if another road user is detected and the situation is classified as critical. The display in the exterior mirror on the affected side flashes at the same time. If the door is already open and another road user is detected and the situation is classified as critical, then the corresponding displays turn on.",https://ownersmanuals2.com/d/72226
2017,Audi,A5 Coupe / S5 Coupe,PDF,2017 Audi A5 Coupe / S5 Coupe — Owner's Manual,"Catalytic converter. It is very important that your emission control system (catalytic converter) is functioning properly to ensure that your vehicle is running in an environmentally sound manner. Always use lead-free gasoline ¢ page 188, fuel supply. Never run the tank down all the way to empty.

Never put too much motor oil in your engine (page 197). Never try to push - or tow-start your vehicle. The catalytic converter is an efficient ""clean-up"" device built into the exhaust system of the vehicle. The catalytic converter burns many of the pollutants in the exhaust gas before they are released into the atmosphere.

The exclusive use of unleaded fuel is critically important for the life of the catalytic converter and proper functioning of the engine.",https://ownersmanuals2.com/d/72227
2016,Audi,A5 Coupe / S5 Coupe,PDF,2016 Audi A5 Coupe / S5 Coupe — Owner's Manual,"If you plan to tow a trailer, please remember that the additional load will affect durability, economy and performance. Trailer towing not only places more stress on the vehicle, it also calls for more concentration from the driver. For this reason, always follow the operating and driving instructions provided and use common sense. Use a weight-carrying hitch conforming to the gross trailer weight.

The hitch must be suitable for your vehicle and trailer and must be mounted securely on the vehicle's chassis at a technically sound location. Use only a trailer hitch with a removable ball mount. Always check with the trailer hitch manufacturer to make sure that you are using the correct hitch. Do not use a bumper hitch.

The hitch must be installed in such a way that it does not interfere with the impact -absorbing bumper system. No modifications should be made to the vehicle exhaust and brake systems. From time to time, check that all hitch mounting bolts remain securely fastened. When you are not towing a trailer, remove the trailer hitch ball mount.

This prevents the hitch from causing damage should your vehicle be struck from behind.",https://ownersmanuals2.com/d/71188
2015,Audi,A5 Coupe / S5 Coupe,PDF,2015 Audi A5 Coupe / S5 Coupe — Owner's Manual,"The vehicle can be locked and unlocked at any door. The remote control key cannot be more than 1.5 m away from the door handle. It makes no difference whether the master key is in your jacket pocket or in your briefcase. If you grip the door handle while locking, this can adversely affect the locking function.

It is not possible to re-open the door for a brief period directly after closing it. This allows you to ensure that the doors are properly locked. It depends on the settings in the radio or MMI* whether the entire vehicle is unlocked or one of the doors (page 36). If you lock the vehicle using the power locking switch, please note the following: If a door is open, the vehicle cannot be locked using the power locking system switch.

You cannot open the doors or the rear lid from the outside (increased security, for example when you are stopped at a red light). The diodes in the power locking switch illuminate when all the doors are closed and locked. You can unlock and open the doors from the inside by pulling on the door handle. If you have a crash and the airbag is activated, the doors automatically unlock.",https://ownersmanuals2.com/d/71195
2014,Audi,A5 Coupe / S5 Coupe,PDF,2014 Audi A5 Coupe / S5 Coupe — Owner's Manual,"The adaptive cruise control system assists the driver by regulating vehicle speed and helping to maintain a set distance to the vehicle ahead, within the limits of the system. If the system detects a moving vehicle up ahead, adaptive cruise control can brake and then accelerate your vehicle. This helps to make driving more comfortable on long highway stretches. The braking guard system can warn you about an impending collision and initiate braking maneuvers (page 96).

Adaptive cruise control and braking guard have technical limitations that you must know, so please read this section carefully, understand how the system works and use them properly at all times. The area that contains the radar sensor fig. 90 must never be covered by stickers or other objects or obstructed with dirt, insects, snow or ice that will interfere with the adaptive cruise control system and braking guard. The function of the adaptive cruise control system and braking guard is limited under some conditions: - Objects can only be detected when they are within sensor range (page 92, fig. 93). The system has a limited ability to detect objects that are a short distance ahead, off to the side of your vehicle or moving into your lane.

Some kinds of vehicles are hard to detect; for example motorcycles, vehicles with high ground clearance or overhanging loads may be detected when it is too late or they may not be detected at all.",https://ownersmanuals2.com/d/71931
2013,Audi,A5 Coupe / S5 Coupe,PDF,2013 Audi A5 Coupe / S5 Coupe — Owner's Manual,"The best protection against environmental influences is frequent washing and waxing. How often this is required depends on: How much the vehicle is used; Where the vehicle is parked (garage, in the open under trees, etc. ); The seasonal and weather conditions; Environmental influences; The longer bird droppings, insects, tree resin, road and industrial grime, tar, soot, road salt and other materials remain on the vehicle body, the more lasting their destructive effects will be. High temperatures caused by exposure to intense sunlight intensify the corrosive effect, particularly when humidity is high as well.

Under certa in circumstances, weekly washing may be necessary. Under other conditions, a monthly washing and waxing may be adequate. After the winter, the underside of the vehicle should be thoroughly washed, preferably in a professional car wash. The vehicle paint is so durable that the vehicle can normally be washed without problems in an automatic car wash.

However, the effect on the paint depends to a large extent on the design of the facility, the filtering of the wash water, the type of wash and care material, etc. If the paint has a dull appearance after going through the car wash or is scratched, bring this to the attention of the operator immediately. If necessary, use a different car wash.",https://ownersmanuals2.com/d/71193
2012,Audi,A5 Coupe / S5 Coupe,PDF,2012 Audi A5 Coupe / S5 Coupe — Owner's Manual,"The delay in deactivating the camera provides an uninterrupted view behind the vehicle especially when maneuvering in tight parking spaces and prevents the picture from turning off every time you shift out of reverse. If the warning message appears in the display but not the rear view camera picture, read and confirm the warning message. The acoustic distance signal is always active. If you press a function button on the MMI control console, the rear view camera picture disappears.

The rearview camera picture reap - pears the next time you park. Further information on the warning message and the MMI control console can be found in the MMI instruction booklet. When there is an obstacle (such as a wall) next to the parking spot, choose a spot with more space on the sides. Position the long side of the blue area so that there is sufficient space from the curb.

The area must not be on the curb. You will also need to start turning the steering wheel much earlier.",https://ownersmanuals2.com/d/71940
2011,Audi,A5 Coupe / S5 Coupe,PDF,2011 Audi A5 Coupe / S5 Coupe — Owner's Manual,"With the switch in the AUTO position, the low beams are switched on automatically depending on the ambient light, for example in a tunnel, at dusk and when it is raining or snowing. When the low beams are switched on, the symbol comes on. The low beams remain switched on regardless of the ambient light when you turn on the fog lights. When you turn off the ignition, the low beams are automatically switched off.

On vehicles with a rain sensor* the headlights switch on automatically after a few windshield wiper passes. However, the instrument lighting will not be switched on. With automatic headlight control, you also have the high-beam function available. However, if you have not switched high beams back to low beams while driving with automatic headlight control, only the low beams come on the next time you turn on automatic headlight control.

In order to return to high beams again, you first have to pull the high beam lever back to the normal position and then push the lever forward.",https://ownersmanuals2.com/d/71191
2010,Audi,A5 Coupe / S5 Coupe,PDF,2010 Audi A5 Coupe / S5 Coupe — Owner's Manual,"Any speed between about 20 mph (30 km/h) and about 95 mph (150 km/h) can be set and held with the adaptive cruise control. The system also regulates a pre-set distance from the vehicle ahead within the limits of the system described. Driving can be more relaxed, particularly on long trips on interstates or on other highways that are generally straight. The adaptive cruise control is set with system specified limits, that is, as a driver, you will have to adjust the speed and distance to the vehicle ahead in some instances - page 128, ""Driver intervention prompt"" and - page 130, ""System limitations"".

For safety reasons, the stored speed is deleted when the ignition is turned off. The Electronic Stabilization Program (ESP) and the Anti -Slip Regulation (ASR) cannot be deactivated when the adaptive cruise control is switched on. If the ESP and the Anti -Slip Regulation (ASR) has been deactivated and you then switch on the adaptive cruise control, the ESP function will also be activated automatically. Damage caused by accidents (e.g. if the vehicle is damaged when parking) can affect the radar sensor settings.

This can cause the system to malfunction or switch off completely. The radar sensor cover is heated. In winter conditions, you should still check before driving to make sure it is free of ice and snow. If necessary, clean the area near the radar sensor carefully.",https://ownersmanuals2.com/d/71186
2009,Audi,A5 Coupe / S5 Coupe,PDF,2009 Audi A5 Coupe / S5 Coupe — Owner's Manual,"If luggage or cargo is to be carried on the roof, you must observe the following: Your vehicle has aerodynamic rain gutters molded into the roof. This is why conventional roof luggage racks cannot be used. We recommend using roof racks from the original accessories program. Thes e approved roof racks are the basis for a complete roof rack system.

Additional attachments for the basic roof rack are necessary to safely transport luggage, bicycles, surfboards, skis or small boats. All necessary hardware for these systems is available at your dealer. We recommend that you keep the installation instructions for your roof rack system together with your Owner's literature in the vehicle. Always check the roof rack mountings and hardware before each trip and during a trip to make sure everything is securely tightened.

If necessary, retighten the mountings and check the entire system from time to time. After mounting a roof rack system, or when you transport objects on the roof of your vehicle, the height of the vehicle is naturally increased. Be careful when driving under low bridges or in parking garages for example. This could cause damage to the load and even the vehicle itself.",https://ownersmanuals2.com/d/71934
2008,Audi,A5 Coupe / S5 Coupe,PDF,2008 Audi A5 Coupe / S5 Coupe — Owner's Manual,,https://ownersmanuals2.com/d/65261
2020,Audi,A6 / S6,PDF,2020 Audi A6 / S6 — Owner's Manual,,https://ownersmanuals2.com/d/75409
2019,Audi,A6 / S6,PDF,2019 Audi A6 / S6 — Owner's Manual,,https://ownersmanuals2.com/d/73359
2018,Audi,A6 / S6,PDF,2018 Audi A6 / S6 — Owner's Manual,"You can unlock/lock the vehicle at every door. The remote control key cannot be more than approximately 4 ft (1.5 m) away from the door handle. It makes no difference whether the master key is in your jacket pocket or in your briefcase, for example. The door cannot be opened for a brief period directly after locking it.

This way you have the opportunity to check if the doors locked correctly. The settings in the Infotainment system determine if the entire vehicle or only one of the doors is unlocked when unlocking the vehicle. When locking the vehicle with the central locking switch, the following applies: Opening the door and the luggage compartment lid from the outside is not possible (for security reasons, such as when stopped at a light). The LED in the central locking switch turns on when all doors are closed and locked.

Applies to: front doors: you can open the doors individually from the inside by pulling the door handle. Rear doors: to unlock the doors pull on the door handle one time. To open the doors, pull on the door handle again. In the event of a crash with airbag deployment, the doors unlock automatically to allow access to the vehicle.

Door unlocking - you can decide if All doors or only the Driver door should unlock. The luggage compartment lid also unlocks when All is selected. If you select Driver in a vehicle with a convenience key*, only the door whose handle you pull will unlock. If you select Driver, all the doors and luggage compartment lid will unlock if you press the button on the remote control key twice.",https://ownersmanuals2.com/d/72487
2017,Audi,A6 / S6,PDF,2017 Audi A6 / S6 — Owner's Manual,"A vehicle uses the most fuel when accelerating. When you drive with anticipation, you do not need to brake as often and so you accelerate less. When possible, let your vehicle coast with a gear engaged, for example, when you notice that the next traffic light is red. This produces an engine braking effect, which helps to protect the brakes and tires and reduces the emissions and fuel consumption to zero (fuel shut-off during deceleration).

The Start-Stop system helps to reduce the idling time automatically. In vehicles without the Start-Stop system, it is efficient to switch the engine off when stopped at railroad crossings and long red lights. Stopping the engine for 30-40 seconds already saves more fuel than the amount of extra fuel needed to restart the engine. It takes a very long time in idle to warm the engine up to operating temperature.

Wear and emissions are especially high in the warm-up phase. Therefore, you should begin driving immediately after starting the engine. Avoid high RPMs while doing this. By having maintenance performed regularly on your vehicle, you can help to reduce fuel consumption before you even start to drive.

The maintenance condition of your vehicle not only affects traffic safety and long-term value but also impacts fuel consumption. A poorly maintained engine can lead to fuel consumption that is 10% higher than normal.",https://ownersmanuals2.com/d/71914
2016,Audi,A6 / S6,PDF,2016 Audi A6 / S6 — Owner's Manual,"The sunshade can be opened and closed by hand when the roof is closed. The sunshade opens automatically when the roof is opened. You can still operate the sliding/tilting sunroof for about 10 minutes after the ignition is switched off. The switch is deactivated once the driver's or front passenger 's door is opened.

If the sunroof detects an object in its path when it is closing, it will open again automatically. In this case, you can close the roof with the power emergency closing function. If you let go of the switch early, the sunroof will open again. You can activate various systems such as garage doors, security systems and home lighting from inside your vehicle using the garage door opener (Homelink).

There are three buttons for this in the vehicle headliner that can be in used in place of up to three hand-held transmitters. To operate systems using the garage door opener, the three buttons in the roof headliner must be programmed first.",https://ownersmanuals2.com/d/65204
2015,Audi,A6 / S6,PDF,2015 Audi A6 / S6 — Owner's Manual,"Anti-lock braking system (ABS). ABS prevents the wheels from locking up when braking. The vehicle can still be steered even during hard braking. Apply steady pressure to the brake pedal.

Do not pump the pedal. A pulsing in the brake pedal indicates that the system is helping you to brake the vehicle. Brake assist system. The brake assist system can decrease braking distance.

It increases braking power when the driver presses the brake pedal quickly in emergency situations. You must press and hold the brake pedal until the situation is over. In vehicles with adaptive cruise control*, the brake assist system is more sensitive if the distance detected to the vehicle ahead is too small. Anti-slip regulation (ASR).

ASR reduces engine power when the drive wheels begin to spin and adapts the force to the road conditions. This makes it easier to start, accelerate and drive up hills. Electronic differential lock (EDL). The EDL brakes wheels that are spinning and transfers the drive power to the other wheels.

This function is available up to about 75 mph (120 km/h). In extreme cases, EDL automatically switches off to help keep the brake on the braked wheel from overheating. EDL will switch on again automatically when conditions have returned to normal. Dynamic steering.

On vehicles with dynamic steering, ESC helps stabilize the steering in critical situations.",https://ownersmanuals2.com/d/71201
2014,Audi,A6 / S6,PDF,2014 Audi A6 / S6 — Owner's Manual,"The engine will switch off in the P, D, N and S positions as well as in manual mode. In the P position, the engine will also remain off if you take your foot off the brake pedal. The engine starts again when you select another selector lever position and take your foot off the brake pedal. If you select the R position during a Stop phase, the engine will start again.

Shift from D to P quickly to prevent the engine from starting unintentionally when shifting through R. You can determine for yourself if the engine will stop or not by reducing or increasing the amount of force you use to press the brake pedal. For example, if you only lightly press on the brake pedal in stop-and and-go traffic or when turning, the engine will not switch off when the vehicle is stationary. As soon as you press the brake down harder, the engine will switch off.

Before each stop phase, the system checks if certain conditions have been met. For example, the engine will not be switched off in the follow ing situations : 1) The engine has not reached the minimum required temperature for Start-Stop-mode. 2) The interior temperature selected by the A/C system has not been reached. 3) The outside temperature is extremely high/ low.

4) The windshield is being defrosted. 5) The parking system* is switched on.",https://ownersmanuals2.com/d/65209
2013,Audi,A6 / S6,PDF,2013 Audi A6 / S6 — Owner's Manual,"When you depress the accelerator pedal beyond the resistance point, the transmission downshifts into a lower gear ratio depending on the vehicle speed and engine speed. As long as the accelerator pedal is depressed, the engine speed is automatically regulated for maximum acceleration. When you depress the accelerator pedal beyond the resistance point, the automatic transmission downshifts into a lower gear, depending on vehicle speed and engine speed. The upshift into the next higher gear takes place once the maximum specified engine speed is reached.

The transmission temperature has increased significantly due to the sporty driving manner. Depending on your vehicle's equipment, various parking aids will help you when parking and maneuvering. The parking system plus assists you when parking by audibly and visually indicating objects detected in front of and behind the vehicle (page 113). The rearview camera shows the area behind the vehicle in the Infotainment display.

This display assists you when you are cross or parallel parking q page 114. In addition, you are assisted by the functions from the parking system plus (page 113). The peripheral cameras assist you with parking and maneuvering. You are aided by various cameras depending on the vehicle equipment level (page 117).

In addition, you are assisted by the functions from the parking system plus (page 113).",https://ownersmanuals2.com/d/71199
2012,Audi,A6 / S6,PDF,2012 Audi A6 / S6 — Owner's Manual,"Signal lights are built into both outside mirrors <=> fig.88. The signal light on the left outside mirror assists when moving over into the left lane and the signal light on the right outside mirror assists when moving over into the right lane. The signal light comes on to tell you that side assist has detected a vehicle on that side and that the position of this other vehicle should be taken into account if you were to change lanes. The informational stage signal is designed so that you notice it only when you are looking in the outside mirror.

Side assist compares the distance and difference in speed of detected vehicles with the speed of your vehicle. Whenever the difference in speed and distance is registered as notable if you were to change lanes, a signal light appears on the respective mirror. The signal can light up if you a repassed by a vehicle or if you are passing another vehicle. If you pass another vehicle slowly (difference in speed less than 9 mph, or 15 km/h), the signal light will come on as soon as the other vehicle is in your blind spot and is detected by side assist.

When the difference in speed is greater, the signal light will not come on.",https://ownersmanuals2.com/d/71204
2011,Audi,A6 / S6,PDF,2011 Audi A6 / S6 — Owner's Manual,"Depending on the outside temperature, the mirror surfaces are heated until the ignition is switched off - even if the knob is no longer in position A. You are well-advised to fold* the outside mirrors in when maneuvering in tight spaces or when leaving the car parked close to other vehicles. Memory setting for the outside mirrors. When the seat position is saved in the memory, the position of the outside mirrors is saved at the same time (page 79).

If the position of the mirror surface is changed on a tilted mirror, this new position will be automatically saved to the remote key when the vehicle is taken out of reverse gear. Tilting the passenger's side outside mirror (only with seat memory) When you move the selector lever into R (Reverse), the mirror on the front passenger's door (knob turned to R, fig. 61) will tilt slightly downward. This make is easier for you to see the curb when you are backing into a parking space. The mirror returns to its initial position as soon as reverse gear is disengaged and vehicle speed is above about 9 mph (15 km/h).

The mirror also returns to its initial position if the switch is moved to the driver's outside mirror L or the ignition is switched off. The outside mirrors dim at the same t ime as the inside mirror. When the ign it ion is switched on, the mirrors automatically dim depending on the amount of light striking the mirrors (such as headlights shining into the vehicle from the rear). When you turn on the interior light, or when you move the selector lever into R (Reverse), the anti-glare function stops and the mirrors return to their original condition (not darkened).",https://ownersmanuals2.com/d/71213
2010,Audi,A6 / S6,PDF,2010 Audi A6 / S6 — Owner's Manual,"The rain sensor operates only in the interval wiper position. When it starts to rain, the interval wiper mode is activated automatically. If the windshield wiper lever is in the interval wipe position with the ign it ion switched off, the rain sensor is not activated until vehicle speed is above 4 mph (6 km/h). To reduce the sensitivity of the rain sensor, the switch A must be moved down.

To increase the sensitivity of the rain sensor, the switch must be moved up. The higher the sensitivity setting, the sooner the windshield wipers react to moisture on the windshield. Increased sensitivity is signaled by the windshield wipers making a single pass over the windshield. The rain sensor wiper intervals depend on the sensitivity setting as well as vehicle speed.

During brief stops, wiper motion will adjust in relation to the amount of rain on the windshield. Always check that the wiper blades are not frozen to the glass before you turn the wipers on. Loosen a wiper blade which is frozen in place before operating the wipers to prevent damage to the wiper blade or the wiper motor. Do not use the wipers to clear a frosted window.

Using the wipers as a convenient ice scraper will destroy the wiper blades. Before you take your vehicle to an automatic car wash, make sure you have the windshield wiper system switched off (lever in position 0), otherwise the windshield wiper system could get damaged in the car wash if it should suddenly come on.",https://ownersmanuals2.com/d/71210
2009,Audi,A6 / S6,PDF,2009 Audi A6 / S6 — Owner's Manual,"The rear window defogger works only when the engine is running. The light in the switch will illuminate when the defogger is on. The rear window defogger will switch off automatically after a short time. The time the rear window defogger remains on will vary depending on the outside temperature.

At very low outside temperatures, the rear window defogger can switched on continuously by pushing the QlP button for more than 2 seconds. This remains stored until the ignition is switched off. A rear window defogger that was switched on also remains stored for 15 minutes after the ignition is switched off. If the engine is restarted within these 15 minutes, the rear window defogger is also activated, depend ing on outside temperature.

With a vehicle that is parked for a short time, the rear window defogger does not need to be manually activated again. Air distribution determines the air flow to the individual vents. Turn the vertical thumb wheel beside the outlet to increase, reduce or shut down the airflow from that outlet. To adjust the direction of the airflow from the outlet, move the tab in the center of the outlet in the desired direction.

The direct ion of the air delivered from the vents can be adjusted horizontally and vertically.",https://ownersmanuals2.com/d/71207
2008,Audi,A6 / S6,PDF,2008 Audi A6 / S6 — Owner's Manual,"We recommend that you always keep automatic air recirculation ON to prevent polluted outside air from entering the vehicle interior. If the air quality sensor located in the air conditioning system detects polluted outside air, the sensor decides whether the air pollution can be reduced by the factory -installed pollutant filter or whether it is necessary to switch to air recirculation. With heavy concentrations of pollutants, the air conditioning system is switched automatically to recirculation mode and the supply of outside air is blocked. As soon as the concentration of pollutants in the outside air drops, fresh air is supp lied to the vehic le inte rior aga in.

With synchronization active, the driver 's or the passenger's settings are adopted for the other seats. This includes all the climate control settings right down to the heated seats. If a different setting is selected at a ""synchronized seat"", synchronization is canceled. The air flow coming from the center vents can be adjusted to be colder or warmer than the selected set temperature.

In this way, you have the opportunity to have the air flow from the center vents a little warmer or cooler, depending on the time of year. A little cooler in the summer and a little warmer in the winter. There must be at least 10 inches (25 cm) between your chest and the center of the steering wheel. If you cannot sit more than 10 inches (25 cm) from the steering wheel, see if the adaptive equipment is available to help you reach the pedals and increase the distance from the steering wheel.",https://ownersmanuals2.com/d/71917
2018,Audi,A7,PDF,2018 Audi A7 — Owner's Manual,"Trailer hitch Only use a trailer hitch with a removable ball hitch mount and ball hitch. The trailer hitch must be permitted for the vehicle, the trailer and the permitted total weight of the trailer being pulled. Above all, it must be securely and safely attached to the vehicle trailer. Never mount a trailer hitch on the bumper.

The trailer hitch must be mounted in a way that does not impair the function of the bumper. Do not make any changes to the exhaust system and the brake system. Check regularly if the trailer hitch is securely mounted. Always follow the instructions given by the trailer hitch manufacturer.

Trailer brakes: If the trailer has its own brake system, then follow the manufacturer specifications. However, the brake system on the trailer must never be connected to the vehicle brake system. Engine cooling system: Driving with a trailer means a higher load on the engine and the cooling system. The cooling system must be designed for additional load and contain enough coolant.",https://ownersmanuals2.com/d/72619
2017,Audi,A7,PDF,2017 Audi A7 — Owner's Manual,"Luggage compartment with movement activated opening. Requirements: you must be carrying your vehicle key with you. You must be standing at the center behind the luggage compartment lid. You should be approximately 8 in (20 cm) from the rear of the vehicle.

The ignition must be switched off. Make sure you have firm footing. The luggage compartment lid will only open if you make the movement as described. This prevents the luggage compartment lid from opening due to similar movements, such as when you walk between the rear of the vehicle and your garage door.

In some situations, the function may be limited or temporarily unavailable. This may happen if: the luggage compartment lid was closed immediately before; you park close to a hedge and the branches move back and forth under the vehicle for a long period of time; you clean your vehicle, for example with a pressure washer or in a car wash; there is heavy rain; the bumper is very dirty, for example after driving on salt-covered roads; there is interference to the radio signal from the vehicle key, such as from cell phones or remote controls.",https://ownersmanuals2.com/d/71952
2020,Audi,A7 Sportback / S7 Sportback,PDF,2020 Audi A7 Sportback / S7 Sportback — Owner's Manual,,https://ownersmanuals2.com/d/75021
2019,Audi,A7 Sportback / S7 Sportback,PDF,2019 Audi A7 Sportback / S7 Sportback — Owner's Manual,,https://ownersmanuals2.com/d/73361
2016,Audi,A7 Sportback / S7 Sportback,PDF,2016 Audi A7 Sportback / S7 Sportback — Owner's Manual,"When synchronization is switched on, the settings for the driver's side a reapplied to the front passenger's side (except for seat heating/ventilation). The settings in the rear are also synchronized. Synchronization switches off if the settings are adjusted on the front passenger's side or in the rear. You can synchronize the settings in a row by pressing and holding a control.

For example, to apply the settings for the front passenger's side to the driver's side, press and hold the control on the front passenger's side. The same applies to the rear. There must be at least 10 inches (25 cm) between your chest and the center of the steering wheel. If you cannot sit more than 10 inches (25 cm) from the steering wheel, see if adaptive equipment is available to help you reach the pedals and increase the distance from the steering wheel.

For detailed information on how to adjust the driver's seat. To adjust the height, press the switch up/down. The steering column will continue moving as long as you are pressing the switch. To move the steering wheel forward or back, press the switch forward/back.

The steering column will continue moving as long as you are pressing the switch. There must be at least 10 inches (25 cm) between your chest and the center of the steering wheel. If you cannot sit more than 10 inches (25 cm) from the steering wheel, see if adaptive equipment is available to help you reach the pedals and increase the distance from the steering wheel.",https://ownersmanuals2.com/d/65244
2015,Audi,A7 Sportback / S7 Sportback,PDF,2015 Audi A7 Sportback / S7 Sportback — Owner's Manual,"Electronic Stabilization Control. ESC helps to improve road holding and vehicle dynamics to help reduce the probability of skidding and loss of vehicle control. It works only when the engine is running. ESC detects certain difficult driving situations, including when the vehicle is beginning to spin (yaw) out of control and helps you to get the vehicle back under control by selectively braking the wheels, and/or reducing engine power and providing steering assistance to help hold the vehicle on the driver's intended course.

The indicator light min the instrument cluster blinks when ESC is taking action to help you control the vehicle. ESC has limitations. It will not always be able to help out under all conditions, you may come up against. For example, ESC may not always be able to help you master situations where there is a sudden change in the coefficient of friction of the road surface.

When there is a section of dry road that is suddenly covered with water, slush or snow, ESC cannot perform the same way it would on the dry surface. If the vehicle hydroplanes, ESC will not be able to help you steer the vehicle because contact with the pavement has been interrupted and the vehicle cannot be braked or steered. During fast cornering, particularly on winding roads, ESC cannot always deal as effectively with difficult driving situations than at lower speeds. When towing a trailer, ESC is not able to help you regain control as it would if you were not tow ing a trailer.",https://ownersmanuals2.com/d/71215
2014,Audi,A7 Sportback / S7 Sportback,PDF,2014 Audi A7 Sportback / S7 Sportback — Owner's Manual,"Electronic speed limiter. Your vehicle may be factory equipped with tires that are rated for a maximum speed of 130 mph (210 km/h). This is less than the maximum speed of your vehicle. To reduce the risk of sudden tire failure and loss of control if the veh icle is ope rated at excessive speeds, your veh icle also has an elect ronic speed limiter.

The electronic speed limiter prevents your vehicle from going faster than the tire speed rating. If the engine control unit receives faulty vehicle road speed signals, the Malfunction Indicator Lamp (MIL), will illuminate. On-Board Diagnostics monitors the components of your emission control system. Each monitored component in your engine system has been assigned a code.

In case of a malfunction, the component will be identified and the fault stored as a code in the control module memory. The MIL light may also illuminate if there is a leak in the on-board fuel vapor recovery system. If the light illuminates after a refueling, stop the vehicle and make sure the fuel filler cap is properly closed (page 221). In order to make an accurate diagnosis, the stored data can only be displayed using special diagnostic equipment (generic scan tool for OBD).",https://ownersmanuals2.com/d/65215
